vy:0,vw:0,vy_off:0,vw_off:-0.103627,pf:0,preal:0,dy:-3,dy2:-3
vy:0.00710879,vw:0.0795334,vy_off:0.00710879,vw_off:-0.0240936,pf:146.104,preal:146.012,dy:0.000862377,dy2:0.000851352
vy:0.00838,vw:0.11444,vy_off:0.00838,vw_off:0.010813,pf:146.677,preal:146.34,dy:0.000181997,dy2:0.000730537
vy:-0.000147756,vw:0.149347,vy_off:-0.000147756,vw_off:0.0457195,pf:146.677,preal:146.768,dy:0.000884957,dy2:0.000974699
vy:0.0106725,vw:0.11444,vy_off:0.0106725,vw_off:0.010813,pf:147.25,preal:147.095,dy:0.000601124,dy2:0.00071758
vy:0.00424884,vw:0.133045,vy_off:0.00424884,vw_off:0.0294184,pf:147.25,preal:147.477,dy:0.000675649,dy2:0.00109805
vy:0.00693337,vw:0.0981388,vy_off:0.00693337,vw_off:-0.00548819,pf:147.823,preal:147.758,dy:0.000769517,dy2:0.000761683
vy:0.0073133,vw:0.118854,vy_off:0.0073133,vw_off:0.0152275,pf:148.396,preal:148.098,dy:0.000313623,dy2:0.000797641
vy:0.00173065,vw:0.153761,vy_off:0.00173065,vw_off:0.0501341,pf:148.396,preal:148.539,dy:0.000943026,dy2:0.00108468
vy:0.0108469,vw:0.118854,vy_off:0.0108469,vw_off:0.0152275,pf:148.969,preal:148.879,dy:0.000920941,dy2:0.000988489
vy:0.00804235,vw:0.118208,vy_off:0.00804235,vw_off:0.0145811,pf:148.969,preal:149.218,dy:0.00077362,dy2:0.00123791
vy:0.0070537,vw:0.0833015,vy_off:0.0070537,vw_off:-0.0203255,pf:149.542,preal:149.457,dy:0.000852877,dy2:0.000842588
vy:0.00828121,vw:0.118208,vy_off:0.00828121,vw_off:0.0145811,pf:150.115,preal:149.795,dy:0.000252802,dy2:0.000772355
vy:0.000730374,vw:0.153115,vy_off:0.000730374,vw_off:0.0494876,pf:150.115,preal:150.234,dy:0.000928985,dy2:0.00104706
vy:0.0109568,vw:0.118208,vy_off:0.0109568,vw_off:0.0145811,pf:150.688,preal:150.572,dy:0.000791076,dy2:0.00087788
vy:0.00645161,vw:0.12377,vy_off:0.00645161,vw_off:0.0201429,pf:150.688,preal:150.927,dy:0.000735107,dy2:0.00118136
vy:0.00703411,vw:0.0888634,vy_off:0.00703411,vw_off:-0.0147636,pf:151.261,preal:151.182,dy:0.000812543,dy2:0.000802962
vy:0.00780212,vw:0.12377,vy_off:0.00780212,vw_off:0.0201429,pf:151.834,preal:151.536,dy:0.000330905,dy2:0.00081435
vy:0.0018021,vw:0.158677,vy_off:0.0018021,vw_off:0.0550495,pf:151.834,preal:151.991,dy:0.000979166,dy2:0.00113513
vy:0.0112612,vw:0.12377,vy_off:0.0112612,vw_off:0.0201429,pf:152.407,preal:152.345,dy:0.00104565,dy2:0.00109182
vy:0.00942518,vw:0.110898,vy_off:0.00942518,vw_off:0.00727129,pf:152.407,preal:152.663,dy:0.00081311,dy2:0.00129146
vy:0.00714294,vw:0.0759917,vy_off:0.00714294,vw_off:-0.0276353,pf:152.98,preal:152.881,dy:0.000867632,dy2:0.000855611
vy:0.00843362,vw:0.110898,vy_off:0.00843362,vw_off:0.00727129,pf:153.553,preal:153.198,dy:0.000111645,dy2:0.000686878
vy:-0.00100786,vw:0.145805,vy_off:-0.00100786,vw_off:0.0421779,pf:153.553,preal:153.616,dy:0.000840294,dy2:0.000903375
vy:0.0103755,vw:0.110898,vy_off:0.0103755,vw_off:0.00727129,pf:154.126,preal:153.934,dy:0.000418704,dy2:0.00056275
vy:0.00214007,vw:0.141819,vy_off:0.00214007,vw_off:0.0381922,pf:154.126,preal:154.34,dy:0.000616803,dy2:0.00101723
vy:0.0068138,vw:0.106913,vy_off:0.0068138,vw_off:0.00328557,pf:154.699,preal:154.646,dy:0.000726466,dy2:0.000720106
vy:0.00682942,vw:0.113658,vy_off:0.00682942,vw_off:0.0100307,pf:155.272,preal:154.972,dy:0.000288254,dy2:0.000774553
vy:0.00156066,vw:0.148564,vy_off:0.00156066,vw_off:0.0449372,pf:155.272,preal:155.398,dy:0.000901141,dy2:0.00102651
vy:0.0103911,vw:0.113658,vy_off:0.0103911,vw_off:0.0100307,pf:155.845,preal:155.723,dy:0.000778416,dy2:0.00086946
vy:0.0064571,vw:0.126267,vy_off:0.0064571,vw_off:0.0226403,pf:155.845,preal:156.085,dy:0.000727043,dy2:0.00117604
vy:0.0069357,vw:0.0913607,vy_off:0.0069357,vw_off:-0.0122663,pf:156.417,preal:156.347,dy:0.000832519,dy2:0.000823859
vy:0.00806951,vw:0.121889,vy_off:0.00806951,vw_off:0.0182622,pf:156.99,preal:156.696,dy:0.000351001,dy2:0.000829068
vy:0.00196905,vw:0.156796,vy_off:0.00196905,vw_off:0.0531688,pf:156.99,preal:157.145,dy:0.00098153,dy2:0.00113539
vy:0.0112431,vw:0.121889,vy_off:0.0112431,vw_off:0.0182622,pf:157.563,preal:157.494,dy:0.0010201,dy2:0.00107197
vy:0.00912322,vw:0.113041,vy_off:0.00912322,vw_off:0.00941389,pf:157.563,preal:157.818,dy:0.000806809,dy2:0.00128256
vy:0.00715135,vw:0.0781343,vy_off:0.00715135,vw_off:-0.0254927,pf:158.136,preal:158.042,dy:0.000869016,dy2:0.000857415
vy:0.0084479,vw:0.113041,vy_off:0.0084479,vw_off:0.00941389,pf:158.709,preal:158.366,dy:0.000157773,dy2:0.000715156
vy:-0.000457674,vw:0.147947,vy_off:-0.000457674,vw_off:0.0443205,pf:158.709,preal:158.79,dy:0.000868281,dy2:0.000948211
vy:0.0105585,vw:0.113041,vy_off:0.0105585,vw_off:0.00941389,pf:159.282,preal:159.113,dy:0.000531205,dy2:0.00065776
vy:0.00344063,vw:0.136406,vy_off:0.00344063,vw_off:0.0327791,pf:159.282,preal:159.504,dy:0.000652072,dy2:0.00106675
vy:0.00687525,vw:0.1015,vy_off:0.00687525,vw_off:-0.00212746,pf:159.855,preal:159.795,dy:0.0007521,dy2:0.000744674
vy:0.00712025,vw:0.116852,vy_off:0.00712025,vw_off:0.0132251,pf:160.428,preal:160.13,dy:0.000302581,dy2:0.000786653
vy:0.00165175,vw:0.151759,vy_off:0.00165175,vw_off:0.0481316,pf:160.428,preal:160.564,dy:0.000925142,dy2:0.00106092
vy:0.010654,vw:0.116852,vy_off:0.010654,vw_off:0.0132251,pf:161.001,preal:160.899,dy:0.000864371,dy2:0.0009407
vy:0.00741648,vw:0.121308,vy_off:0.00741648,vw_off:0.0176809,pf:161.001,preal:161.247,dy:0.000753861,dy2:0.00121293
vy:0.00699065,vw:0.0864013,vy_off:0.00699065,vw_off:-0.0172257,pf:161.574,preal:161.494,dy:0.000843467,dy2:0.00083359
vy:0.00818573,vw:0.121308,vy_off:0.00818573,vw_off:0.0176809,pf:162.147,preal:161.842,dy:0.000309274,dy2:0.000804215
vy:0.00143539,vw:0.156214,vy_off:0.00143539,vw_off:0.0525875,pf:162.147,preal:162.289,dy:0.000963132,dy2:0.00110492
vy:0.0111707,vw:0.121308,vy_off:0.0111707,vw_off:0.0176809,pf:162.72,preal:162.637,dy:0.000945377,dy2:0.00100763
vy:0.00824572,vw:0.116139,vy_off:0.00824572,vw_off:0.0125118,pf:162.72,preal:162.97,dy:0.000782139,dy2:0.00124867
vy:0.00709939,vw:0.0812322,vy_off:0.00709939,vw_off:-0.0223948,pf:163.293,preal:163.202,dy:0.000846379,dy2:0.000835108
vy:0.00819042,vw:0.116139,vy_off:0.00819042,vw_off:0.0125118,pf:163.866,preal:163.535,dy:0.000201513,dy2:0.000737942
vy:0.00013951,vw:0.151045,vy_off:0.00013951,vw_off:0.0474184,pf:163.866,preal:163.968,dy:0.000895935,dy2:0.000997416
vy:0.0107244,vw:0.116139,vy_off:0.0107244,vw_off:0.0125118,pf:164.439,preal:164.3,dy:0.000673766,dy2:0.000777354
vy:0.00510706,vw:0.129175,vy_off:0.00510706,vw_off:0.0255482,pf:164.439,preal:164.67,dy:0.000695244,dy2:0.0011283
vy:0.00692972,vw:0.0942686,vy_off:0.00692972,vw_off:-0.00935841,pf:165.012,preal:164.941,dy:0.000782605,dy2:0.000773711
vy:0.00747155,vw:0.121185,vy_off:0.00747155,vw_off:0.0175579,pf:165.585,preal:165.288,dy:0.000319387,dy2:0.000800826
vy:0.00175581,vw:0.156091,vy_off:0.00175581,vw_off:0.0524645,pf:165.585,preal:165.735,dy:0.000956219,dy2:0.00110593
vy:0.0109984,vw:0.121185,vy_off:0.0109984,vw_off:0.0175579,pf:166.158,preal:166.082,dy:0.000979578,dy2:0.00103618
vy:0.00870459,vw:0.114612,vy_off:0.00870459,vw_off:0.0109849,pf:166.158,preal:166.41,dy:0.000789803,dy2:0.00126232
vy:0.00706365,vw:0.0797053,vy_off:0.00706365,vw_off:-0.0239217,pf:166.731,preal:166.639,dy:0.0008581,dy2:0.000846577
vy:0.00834119,vw:0.114612,vy_off:0.00834119,vw_off:0.0109849,pf:167.304,preal:166.967,dy:0.00018115,dy2:0.000726452
vy:-0.000147123,vw:0.149519,vy_off:-0.000147123,vw_off:0.0458915,pf:167.304,preal:167.395,dy:0.000882396,dy2:0.000973944
vy:0.0106415,vw:0.114612,vy_off:0.0106415,vw_off:0.0109849,pf:167.877,preal:167.724,dy:0.000605469,dy2:0.000719701
vy:0.00430966,vw:0.132625,vy_off:0.00430966,vw_off:0.028998,pf:167.877,preal:168.104,dy:0.000673844,dy2:0.00109863
vy:0.00689475,vw:0.0977184,vy_off:0.00689475,vw_off:-0.00590856,pf:168.45,preal:168.384,dy:0.000767508,dy2:0.000759217
vy:0.00729993,vw:0.119104,vy_off:0.00729993,vw_off:0.0154771,pf:169.023,preal:168.725,dy:0.000310582,dy2:0.00079274
vy:0.00169783,vw:0.154011,vy_off:0.00169783,vw_off:0.0503837,pf:169.023,preal:169.166,dy:0.00094023,dy2:0.00108351
vy:0.0108224,vw:0.119104,vy_off:0.0108224,vw_off:0.0154771,pf:169.596,preal:169.507,dy:0.000923283,dy2:0.00098918
vy:0.00807729,vw:0.117821,vy_off:0.00807729,vw_off:0.0141942,pf:169.596,preal:169.845,dy:0.000771425,dy2:0.00123792
vy:0.00701759,vw:0.0829146,vy_off:0.00701759,vw_off:-0.0207124,pf:170.168,preal:170.082,dy:0.00085011,dy2:0.000839238
vy:0.00825803,vw:0.117821,vy_off:0.00825803,vw_off:0.0141942,pf:170.741,preal:170.42,dy:0.000241469,dy2:0.000762101
vy:0.000600681,vw:0.152728,vy_off:0.000600681,vw_off:0.0491008,pf:170.741,preal:170.857,dy:0.000919801,dy2:0.00103565
vy:0.0108826,vw:0.117821,vy_off:0.0108826,vw_off:0.0141942,pf:171.314,preal:171.195,dy:0.000767175,dy2:0.000856316
vy:0.00618514,vw:0.124722,vy_off:0.00618514,vw_off:0.0210952,pf:171.314,preal:171.552,dy:0.000724512,dy2:0.00116971
vy:0.00698104,vw:0.0898156,vy_off:0.00698104,vw_off:-0.0138114,pf:171.887,preal:171.81,dy:0.000804252,dy2:0.000794394
vy:0.00771731,vw:0.12379,vy_off:0.00771731,vw_off:0.0201634,pf:172.46,preal:172.164,dy:0.000331284,dy2:0.0008106
vy:0.00183027,vw:0.158697,vy_off:0.00183027,vw_off:0.05507,pf:172.46,preal:172.619,dy:0.000975601,dy2:0.00113401
vy:0.0112105,vw:0.12379,vy_off:0.0112105,vw_off:0.0201634,pf:173.033,preal:172.973,dy:0.00104951,dy2:0.00109413
vy:0.00948565,vw:0.110556,vy_off:0.00948565,vw_off:0.00692918,pf:173.033,preal:173.29,dy:0.000811376,dy2:0.00129237
vy:0.00710526,vw:0.0756496,vy_off:0.00710526,vw_off:-0.0279774,pf:173.606,preal:173.507,dy:0.000866805,dy2:0.000854165
vy:0.00843418,vw:0.110556,vy_off:0.00843418,vw_off:0.00692918,pf:174.179,preal:173.824,dy:0.000103248,dy2:0.000678592
vy:-0.00110889,vw:0.145463,vy_off:-0.00110889,vw_off:0.0418358,pf:174.179,preal:174.24,dy:0.000832946,dy2:0.000894078
vy:0.0103154,vw:0.110556,vy_off:0.0103154,vw_off:0.00692918,pf:174.752,preal:174.557,dy:0.000399124,dy2:0.000544516
vy:0.0019216,vw:0.142606,vy_off:0.0019216,vw_off:0.0389785,pf:174.752,preal:174.966,dy:0.000607476,dy2:0.00100719
vy:0.00676261,vw:0.107699,vy_off:0.00676261,vw_off:0.00407192,pf:175.325,preal:175.274,dy:0.000718987,dy2:0.00071248
vy:0.00675383,vw:0.113185,vy_off:0.00675383,vw_off:0.00955802,pf:175.898,preal:175.598,dy:0.000282215,dy2:0.000767016
vy:0.00150916,vw:0.148092,vy_off:0.00150916,vw_off:0.0444646,pf:175.898,preal:176.023,dy:0.000893027,dy2:0.00101763
vy:0.0103079,vw:0.113185,vy_off:0.0103079,vw_off:0.00955802,pf:176.471,preal:176.347,dy:0.000761485,dy2:0.000853953
vy:0.00627687,vw:0.126997,vy_off:0.00627687,vw_off:0.02337,pf:176.471,preal:176.711,dy:0.000718591,dy2:0.00116755
vy:0.00688437,vw:0.0920905,vy_off:0.00688437,vw_off:-0.0115365,pf:177.044,preal:176.974,dy:0.000827003,dy2:0.000818105
vy:0.00801755,vw:0.121407,vy_off:0.00801755,vw_off:0.0177804,pf:177.617,preal:177.322,dy:0.000346018,dy2:0.000822468
vy:0.00192366,vw:0.156314,vy_off:0.00192366,vw_off:0.052687,pf:177.617,preal:177.77,dy:0.000973991,dy2:0.00112731
vy:0.0111651,vw:0.121407,vy_off:0.0111651,vw_off:0.0177804,pf:178.19,preal:178.118,dy:0.00100355,dy2:0.00105711
vy:0.00894612,vw:0.113765,vy_off:0.00894612,vw_off:0.0101378,pf:178.19,preal:178.444,dy:0.000798791,dy2:0.00127463
vy:0.00710434,vw:0.0788582,vy_off:0.00710434,vw_off:-0.0247688,pf:178.763,preal:178.67,dy:0.000863995,dy2:0.000852021
vy:0.00840068,vw:0.113765,vy_off:0.00840068,vw_off:0.0101378,pf:179.336,preal:178.996,dy:0.000167853,dy2:0.000717743
vy:-0.000323426,vw:0.148671,vy_off:-0.000323426,vw_off:0.0450444,pf:179.336,preal:179.422,dy:0.000872555,dy2:0.000958439
vy:0.0105724,vw:0.113765,vy_off:0.0105724,vw_off:0.0101378,pf:179.909,preal:179.747,dy:0.000563808,dy2:0.000683768
vy:0.00382842,vw:0.13462,vy_off:0.00382842,vw_off:0.030993,pf:179.909,preal:180.133,dy:0.000659224,dy2:0.00107976
vy:0.00685315,vw:0.0997134,vy_off:0.00685315,vw_off:-0.00391355,pf:180.482,preal:180.419,dy:0.000756588,dy2:0.000748468
vy:0.00718032,vw:0.117911,vy_off:0.00718032,vw_off:0.0142838,pf:181.055,preal:180.757,dy:0.000303295,dy2:0.000785067
vy:0.0016436,vw:0.152817,vy_off:0.0016436,vw_off:0.0491904,pf:181.055,preal:181.194,dy:0.000928654,dy2:0.00106861
vy:0.0106985,vw:0.117911,vy_off:0.0106985,vw_off:0.0142838,pf:181.628,preal:181.532,dy:0.00088871,dy2:0.000959676
vy:0.00769649,vw:0.119666,vy_off:0.00769649,vw_off:0.0160394,pf:181.628,preal:181.875,dy:0.000758695,dy2:0.00122241
vy:0.00697074,vw:0.0847598,vy_off:0.00697074,vw_off:-0.0188672,pf:182.201,preal:182.118,dy:0.000843668,dy2:0.000832943
vy:0.0081937,vw:0.119666,vy_off:0.0081937,vw_off:0.0160394,pf:182.774,preal:182.461,dy:0.000274145,dy2:0.00077974
vy:0.00101114,vw:0.154573,vy_off:0.00101114,vw_off:0.0509459,pf:182.774,preal:182.903,dy:0.000939033,dy2:0.00106923
vy:0.0109993,vw:0.119666,vy_off:0.0109993,vw_off:0.0160394,pf:183.346,preal:183.246,dy:0.000857983,dy2:0.00093245
vy:0.00724355,vw:0.120179,vy_off:0.00724355,vw_off:0.0165524,pf:183.346,preal:183.591,dy:0.000751535,dy2:0.00120916
vy:0.00701087,vw:0.0852728,vy_off:0.00701087,vw_off:-0.0183542,pf:183.919,preal:183.835,dy:0.000823597,dy2:0.000812592
vy:0.0079414,vw:0.120179,vy_off:0.0079414,vw_off:0.0165524,pf:184.492,preal:184.179,dy:0.000264714,dy2:0.00077075
vy:0.000968124,vw:0.155086,vy_off:0.000968124,vw_off:0.051459,pf:184.492,preal:184.623,dy:0.000933907,dy2:0.00106527
vy:0.0109497,vw:0.120179,vy_off:0.0109497,vw_off:0.0165524,pf:185.065,preal:184.968,dy:0.000864906,dy2:0.000937416
vy:0.00734053,vw:0.119498,vy_off:0.00734053,vw_off:0.0158707,pf:185.065,preal:185.31,dy:0.000751988,dy2:0.00121089
vy:0.00698931,vw:0.0845911,vy_off:0.00698931,vw_off:-0.0190359,pf:185.638,preal:185.552,dy:0.000822841,dy2:0.000811619
vy:0.00793832,vw:0.119498,vy_off:0.00793832,vw_off:0.0158707,pf:186.211,preal:185.895,dy:0.000249843,dy2:0.000761036
vy:0.000790338,vw:0.154404,vy_off:0.000790338,vw_off:0.0507772,pf:186.211,preal:186.337,dy:0.000924553,dy2:0.00105072
vy:0.0108869,vw:0.119498,vy_off:0.0108869,vw_off:0.0158707,pf:186.784,preal:186.679,dy:0.000829089,dy2:0.000906889
vy:0.00692775,vw:0.121196,vy_off:0.00692775,vw_off:0.0175693,pf:186.784,preal:187.027,dy:0.000740252,dy2:0.00119491
vy:0.00696329,vw:0.0862897,vy_off:0.00696329,vw_off:-0.0173373,pf:187.357,preal:187.274,dy:0.000814226,dy2:0.000803295
vy:0.00784207,vw:0.121196,vy_off:0.00784207,vw_off:0.0175693,pf:187.93,preal:187.621,dy:0.000277537,dy2:0.000776626
vy:0.00114985,vw:0.156103,vy_off:0.00114985,vw_off:0.0524759,pf:187.93,preal:188.068,dy:0.00094191,dy2:0.00108045
vy:0.0109953,vw:0.121196,vy_off:0.0109953,vw_off:0.0175693,pf:188.503,preal:188.415,dy:0.000910738,dy2:0.000975783
vy:0.00787845,vw:0.11713,vy_off:0.00787845,vw_off:0.0135033,pf:188.503,preal:188.751,dy:0.000765558,dy2:0.00123063
vy:0.00700249,vw:0.0822237,vy_off:0.00700249,vw_off:-0.0214033,pf:189.076,preal:188.986,dy:0.000832426,dy2:0.000820642
vy:0.0080498,vw:0.11713,vy_off:0.0080498,vw_off:0.0135033,pf:189.649,preal:189.322,dy:0.000209003,dy2:0.000736675
vy:0.000268659,vw:0.152037,vy_off:0.000268659,vw_off:0.0484099,pf:189.649,preal:189.758,dy:0.000898416,dy2:0.00100744
vy:0.0107182,vw:0.11713,vy_off:0.0107182,vw_off:0.0135033,pf:190.222,preal:190.093,dy:0.000713275,dy2:0.000808731
vy:0.00558342,vw:0.126881,vy_off:0.00558342,vw_off:0.0232545,pf:190.222,preal:190.457,dy:0.000703384,dy2:0.00114385
vy:0.00689482,vw:0.0919749,vy_off:0.00689482,vw_off:-0.0116521,pf:190.795,preal:190.72,dy:0.000787509,dy2:0.000777633
vy:0.00754018,vw:0.122562,vy_off:0.00754018,vw_off:0.0189348,pf:191.368,preal:191.071,dy:0.000319674,dy2:0.000798273
vy:0.00174014,vw:0.157468,vy_off:0.00174014,vw_off:0.0538414,pf:191.368,preal:191.522,dy:0.000960409,dy2:0.0011156
vy:0.0110531,vw:0.122562,vy_off:0.0110531,vw_off:0.0189348,pf:191.941,preal:191.873,dy:0.00101083,dy2:0.00106073
vy:0.00906474,vw:0.112485,vy_off:0.00906474,vw_off:0.00885824,pf:191.941,preal:192.196,dy:0.00079615,dy2:0.00127467
vy:0.00703958,vw:0.0775787,vy_off:0.00703958,vw_off:-0.0260483,pf:192.514,preal:192.418,dy:0.000858542,dy2:0.000845839
vy:0.00835321,vw:0.112485,vy_off:0.00835321,vw_off:0.00885824,pf:193.087,preal:192.74,dy:0.000135941,dy2:0.00069487
vy:-0.000693578,vw:0.147392,vy_off:-0.000693578,vw_off:0.0437648,pf:193.087,preal:193.162,dy:0.000851578,dy2:0.000927649
vy:0.0104235,vw:0.112485,vy_off:0.0104235,vw_off:0.00885824,pf:193.66,preal:193.485,dy:0.000492656,dy2:0.000622169
vy:0.00301512,vw:0.137861,vy_off:0.00301512,vw_off:0.0342344,pf:193.66,preal:193.88,dy:0.000634108,dy2:0.00104711
vy:0.00677796,vw:0.102955,vy_off:0.00677796,vw_off:-0.000672183,pf:194.233,preal:194.175,dy:0.00073768,dy2:0.000729955
vy:0.00697411,vw:0.115999,vy_off:0.00697411,vw_off:0.0123719,pf:194.806,preal:194.507,dy:0.000291213,dy2:0.0007729
vy:0.0015559,vw:0.150906,vy_off:0.0015559,vw_off:0.0472785,pf:194.806,preal:194.939,dy:0.000910429,dy2:0.00104475
vy:0.010504,vw:0.115999,vy_off:0.010504,vw_off:0.0123719,pf:195.379,preal:195.272,dy:0.000833714,dy2:0.000912901
vy:0.00708997,vw:0.122635,vy_off:0.00708997,vw_off:0.0190081,pf:195.379,preal:195.623,dy:0.000738986,dy2:0.0011978
vy:0.0069029,vw:0.0877285,vy_off:0.0069029,vw_off:-0.0158985,pf:195.952,preal:195.874,dy:0.000833954,dy2:0.000823628
vy:0.0080959,vw:0.122635,vy_off:0.0080959,vw_off:0.0190081,pf:196.525,preal:196.225,dy:0.000327488,dy2:0.000809475
vy:0.00167923,vw:0.157542,vy_off:0.00167923,vw_off:0.0539147,pf:196.525,preal:196.677,dy:0.000970964,dy2:0.0011242
vy:0.0111968,vw:0.122635,vy_off:0.0111968,vw_off:0.0190081,pf:197.097,preal:197.028,dy:0.00100499,dy2:0.00105624
vy:0.00895464,vw:0.112873,vy_off:0.00895464,vw_off:0.00924562,pf:197.097,preal:197.351,dy:0.000796184,dy2:0.0012735
vy:0.00707065,vw:0.077966,vy_off:0.00707065,vw_off:-0.025661,pf:197.67,preal:197.575,dy:0.000855818,dy2:0.000843015
vy:0.00831183,vw:0.112873,vy_off:0.00831183,vw_off:0.00924562,pf:198.243,preal:197.898,dy:0.000140719,dy2:0.000696923
vy:-0.000624658,vw:0.147779,vy_off:-0.000624658,vw_off:0.0441522,pf:198.243,preal:198.322,dy:0.000854096,dy2:0.000932786
vy:0.0104346,vw:0.112873,vy_off:0.0104346,vw_off:0.00924562,pf:198.816,preal:198.645,dy:0.00050877,dy2:0.000635371
vy:0.00320562,vw:0.136998,vy_off:0.00320562,vw_off:0.0333708,pf:198.816,preal:199.037,dy:0.000638305,dy2:0.00105375
vy:0.00677533,vw:0.102091,vy_off:0.00677533,vw_off:-0.00153575,pf:199.389,preal:199.33,dy:0.000740374,dy2:0.000732385
vy:0.00700721,vw:0.116521,vy_off:0.00700721,vw_off:0.0128942,pf:199.962,preal:199.664,dy:0.000292241,dy2:0.000773256
vy:0.00155903,vw:0.151428,vy_off:0.00155903,vw_off:0.0478008,pf:199.962,preal:200.097,dy:0.000913093,dy2:0.00104926
vy:0.0105351,vw:0.116521,vy_off:0.0105351,vw_off:0.0128942,pf:200.535,preal:200.431,dy:0.000846561,dy2:0.000923275
vy:0.00723564,vw:0.12183,vy_off:0.00723564,vw_off:0.0182032,pf:200.535,preal:200.78,dy:0.000742345,dy2:0.00120309
vy:0.00690268,vw:0.0869236,vy_off:0.00690268,vw_off:-0.0167034,pf:201.108,preal:201.029,dy:0.0008349,dy2:0.000824265
vy:0.00810732,vw:0.12183,vy_off:0.00810732,vw_off:0.0182032,pf:201.681,preal:201.378,dy:0.00031121,dy2:0.000798844
vy:0.00148048,vw:0.156737,vy_off:0.00148048,vw_off:0.0531097,pf:201.681,preal:201.827,dy:0.000960264,dy2:0.00110759
vy:0.0111237,vw:0.12183,vy_off:0.0111237,vw_off:0.0182032,pf:202.254,preal:202.176,dy:0.000963192,dy2:0.00102052
vy:0.00847284,vw:0.114855,vy_off:0.00847284,vw_off:0.0112278,pf:202.254,preal:202.505,dy:0.000782199,dy2:0.00125479
vy:0.00703685,vw:0.0799482,vy_off:0.00703685,vw_off:-0.0236788,pf:202.827,preal:202.734,dy:0.000845497,dy2:0.00083296
vy:0.00819726,vw:0.114855,vy_off:0.00819726,vw_off:0.0112278,pf:203.4,preal:203.063,dy:0.000172646,dy2:0.000714432
vy:-0.000209191,vw:0.149761,vy_off:-0.000209191,vw_off:0.0461344,pf:203.4,preal:203.493,dy:0.000873788,dy2:0.000967037
vy:0.0105554,vw:0.114855,vy_off:0.0105554,vw_off:0.0112278,pf:203.973,preal:203.822,dy:0.000603535,dy2:0.000715144
vy:0.00431041,vw:0.13225,vy_off:0.00431041,vw_off:0.0286235,pf:203.973,preal:204.2,dy:0.000667243,dy2:0.00109506
vy:0.00681524,vw:0.0973439,vy_off:0.00681524,vw_off:-0.00628312,pf:204.546,preal:204.479,dy:0.000761096,dy2:0.000752046
vy:0.00724504,vw:0.119352,vy_off:0.00724504,vw_off:0.0157245,pf:205.119,preal:204.821,dy:0.000303487,dy2:0.000782595
vy:0.00162788,vw:0.154258,vy_off:0.00162788,vw_off:0.0506311,pf:205.119,preal:205.263,dy:0.000933317,dy2:0.00107879
vy:0.0107589,vw:0.119352,vy_off:0.0107589,vw_off:0.0157245,pf:205.692,preal:205.605,dy:0.000921688,dy2:0.000985631
vy:0.00807583,vw:0.11745,vy_off:0.00807583,vw_off:0.0138226,pf:205.692,preal:205.942,dy:0.00076571,dy2:0.00123544
vy:0.00694934,vw:0.082543,vy_off:0.00694934,vw_off:-0.021084,pf:206.265,preal:206.178,dy:0.000844421,dy2:0.000832585
vy:0.0082087,vw:0.11745,vy_off:0.0082087,vw_off:0.0138226,pf:206.838,preal:206.514,dy:0.000227347,dy2:0.000747549
vy:0.000444769,vw:0.152356,vy_off:0.000444769,vw_off:0.0487292,pf:206.838,preal:206.951,dy:0.000907345,dy2:0.00102152
vy:0.0107764,vw:0.11745,vy_off:0.0107764,vw_off:0.0138226,pf:207.411,preal:207.287,dy:0.000740769,dy2:0.00083156
vy:0.0058975,vw:0.125639,vy_off:0.0058975,vw_off:0.0220122,pf:207.411,preal:207.647,dy:0.000710816,dy2:0.00115606
vy:0.00689663,vw:0.0907326,vy_off:0.00689663,vw_off:-0.0128944,pf:207.984,preal:207.907,dy:0.000793234,dy2:0.000782778
vy:0.00760845,vw:0.123247,vy_off:0.00760845,vw_off:0.0196199,pf:208.557,preal:208.26,dy:0.000321545,dy2:0.000798169
vy:0.0017436,vw:0.158153,vy_off:0.0017436,vw_off:0.0545265,pf:208.557,preal:208.713,dy:0.000963106,dy2:0.00112136
vy:0.0110845,vw:0.123247,vy_off:0.0110845,vw_off:0.0196199,pf:209.13,preal:209.066,dy:0.00102692,dy2:0.00107336
vy:0.00924938,vw:0.111399,vy_off:0.00924938,vw_off:0.00777196,pf:209.13,preal:209.386,dy:0.000799185,dy2:0.00128111
vy:0.00702461,vw:0.0764924,vy_off:0.00702461,vw_off:-0.0271346,pf:209.703,preal:209.605,dy:0.000858598,dy2:0.000845168
vy:0.00835805,vw:0.111399,vy_off:0.00835805,vw_off:0.00777196,pf:210.276,preal:209.924,dy:0.00011254,dy2:0.000677956
vy:-0.000976056,vw:0.146306,vy_off:-0.000976056,vw_off:0.0426785,pf:210.276,preal:210.343,dy:0.000835278,dy2:0.000903451
vy:0.0103064,vw:0.111399,vy_off:0.0103064,vw_off:0.00777196,pf:210.848,preal:210.662,dy:0.000434559,dy2:0.000571534
vy:0.0023498,vw:0.140531,vy_off:0.0023498,vw_off:0.036904,pf:210.848,preal:211.065,dy:0.000613013,dy2:0.00102021
vy:0.00670985,vw:0.105624,vy_off:0.00670985,vw_off:0.0019974,pf:211.421,preal:211.367,dy:0.000721664,dy2:0.000714213
vy:0.00680068,vw:0.114415,vy_off:0.00680068,vw_off:0.0107883,pf:211.994,preal:211.695,dy:0.000280595,dy2:0.00076171
