vy:0,vw:0,vy_off:0,vw_off:-0.103627,pf:0,preal:0,dy:-3,dy2:-3
vy:0.00383179,vw:0.135254,vy_off:0.00383179,vw_off:0.0316272,pf:97.4028,preal:97.6263,dy:0.000673295,dy2:0.00108699
vy:0.00702126,vw:0.100348,vy_off:0.00702126,vw_off:-0.00327937,pf:97.9758,preal:97.9138,dy:0.00076971,dy2:0.00076316
vy:0.00729114,vw:0.117535,vy_off:0.00729114,vw_off:0.0139079,pf:98.5487,preal:98.2505,dy:0.000318326,dy2:0.000807267
vy:0.00179332,vw:0.152441,vy_off:0.00179332,vw_off:0.0488145,pf:98.5487,preal:98.6872,dy:0.000944658,dy2:0.00108017
vy:0.010849,vw:0.117535,vy_off:0.010849,vw_off:0.0139079,pf:99.1217,preal:99.0239,dy:0.000896177,dy2:0.00097112
vy:0.00774425,vw:0.120249,vy_off:0.00774425,vw_off:0.0166222,pf:99.1217,preal:99.3684,dy:0.000773058,dy2:0.00122986
vy:0.00712998,vw:0.0853426,vy_off:0.00712998,vw_off:-0.0182844,pf:99.6947,preal:99.6129,dy:0.000857268,dy2:0.000848588
vy:0.00831272,vw:0.120249,vy_off:0.00831272,vw_off:0.0166222,pf:100.268,preal:99.9574,dy:0.000301525,dy2:0.000809952
vy:0.00130693,vw:0.155156,vy_off:0.00130693,vw_off:0.0515288,pf:100.268,preal:100.402,dy:0.000964697,dy2:0.00109617
vy:0.0112253,vw:0.120249,vy_off:0.0112253,vw_off:0.0166222,pf:100.841,preal:100.746,dy:0.000905194,dy2:0.000977351
vy:0.00774778,vw:0.118745,vy_off:0.00774778,vw_off:0.0151177,pf:100.841,preal:101.087,dy:0.000778418,dy2:0.00123398
vy:0.00719338,vw:0.0838381,vy_off:0.00719338,vw_off:-0.0197889,pf:101.414,preal:101.327,dy:0.000845276,dy2:0.000836015
vy:0.008151,vw:0.118745,vy_off:0.008151,vw_off:0.0151177,pf:101.986,preal:101.667,dy:0.000257059,dy2:0.000780665
vy:0.000817789,vw:0.153651,vy_off:0.000817789,vw_off:0.0500243,pf:101.986,preal:102.107,dy:0.000937399,dy2:0.00105555
vy:0.0110336,vw:0.118745,vy_off:0.0110336,vw_off:0.0151177,pf:102.559,preal:102.447,dy:0.000813075,dy2:0.000898952
vy:0.00669451,vw:0.122934,vy_off:0.00669451,vw_off:0.0193068,pf:102.559,preal:102.799,dy:0.000747982,dy2:0.00119259
vy:0.00712112,vw:0.0880272,vy_off:0.00712112,vw_off:-0.0155998,pf:103.132,preal:103.052,dy:0.000822376,dy2:0.000813718
vy:0.00789602,vw:0.122934,vy_off:0.00789602,vw_off:0.0193068,pf:103.705,preal:103.404,dy:0.00032409,dy2:0.000818017
vy:0.00169407,vw:0.15784,vy_off:0.00169407,vw_off:0.0542134,pf:103.705,preal:103.856,dy:0.000980053,dy2:0.00112768
vy:0.0113019,vw:0.122934,vy_off:0.0113019,vw_off:0.0193068,pf:104.278,preal:104.208,dy:0.00101374,dy2:0.0010674
vy:0.00903042,vw:0.112956,vy_off:0.00903042,vw_off:0.0093287,pf:104.278,preal:104.532,dy:0.000809794,dy2:0.00127943
vy:0.00721305,vw:0.0780491,vy_off:0.00721305,vw_off:-0.0255779,pf:104.851,preal:104.755,dy:0.000866336,dy2:0.000856003
vy:0.00839853,vw:0.112956,vy_off:0.00839853,vw_off:0.0093287,pf:105.424,preal:105.079,dy:0.000155004,dy2:0.000720382
vy:-0.000477196,vw:0.147862,vy_off:-0.000477196,vw_off:0.0442353,pf:105.424,preal:105.503,dy:0.000872489,dy2:0.000949287
vy:0.0106145,vw:0.112956,vy_off:0.0106145,vw_off:0.0093287,pf:105.997,preal:105.826,dy:0.000528138,dy2:0.000658927
vy:0.00338819,vw:0.136891,vy_off:0.00338819,vw_off:0.0332645,pf:105.997,preal:106.218,dy:0.000658593,dy2:0.00106842
vy:0.00696819,vw:0.101985,vy_off:0.00696819,vw_off:-0.0016421,pf:106.57,preal:106.51,dy:0.000758315,dy2:0.000751861
vy:0.00716903,vw:0.116595,vy_off:0.00716903,vw_off:0.0129684,pf:107.143,preal:106.845,dy:0.000310811,dy2:0.000799646
vy:0.00173705,vw:0.151502,vy_off:0.00173705,vw_off:0.047875,pf:107.143,preal:107.279,dy:0.00093447,dy2:0.00106731
vy:0.0107423,vw:0.116595,vy_off:0.0107423,vw_off:0.0129684,pf:107.716,preal:107.613,dy:0.000867964,dy2:0.000947074
